time,ice_thickness,year,month,month_name,season_year
2010-11-01,1.0179946,2010,11,Nov,2011
2010-12-01,1.0722752,2010,12,Dec,2011
2011-01-01,1.20735,2011,1,Jan,2011
2011-02-01,1.3527013,2011,2,Feb,2011
2011-03-01,1.5135602,2011,3,Mar,2011
2011-04-01,1.6278787,2011,4,Apr,2011
2011-10-01,0.8716299,2011,10,Oct,2012
2011-11-01,0.9229776,2011,11,Nov,2012
2011-12-01,1.0320073,2011,12,Dec,2012
2012-01-01,1.1340078,2012,1,Jan,2012
2012-02-01,1.3099879,2012,2,Feb,2012
2012-03-01,1.3927001,2012,3,Mar,2012
2012-04-01,1.5269959,2012,4,Apr,2012
2012-10-01,0.94502866,2012,10,Oct,2013
2012-11-01,0.9842519,2012,11,Nov,2013
2012-12-01,1.0240973,2012,12,Dec,2013
2013-01-01,1.1010355,2013,1,Jan,2013
2013-02-01,1.1598382,2013,2,Feb,2013
2013-03-01,1.3358946,2013,3,Mar,2013
2013-04-01,1.4388849,2013,4,Apr,2013
2013-10-01,1.1951871,2013,10,Oct,2014
2013-11-01,1.2032897,2013,11,Nov,2014
2013-12-01,1.2389126,2013,12,Dec,2014
2014-01-01,1.3262485,2014,1,Jan,2014
2014-02-01,1.4650643,2014,2,Feb,2014
2014-03-01,1.6146357,2014,3,Mar,2014
2014-04-01,1.711981,2014,4,Apr,2014
2014-10-01,1.0553386,2014,10,Oct,2015
2014-11-01,1.1675936,2014,11,Nov,2015
2014-12-01,1.2038902,2014,12,Dec,2015
2015-01-01,1.320232,2015,1,Jan,2015
2015-02-01,1.4664181,2015,2,Feb,2015
2015-03-01,1.6563685,2015,3,Mar,2015
2015-04-01,1.7143401,2015,4,Apr,2015
2015-10-01,1.0101452,2015,10,Oct,2016
2015-11-01,1.0956873,2015,11,Nov,2016
2015-12-01,1.130826,2015,12,Dec,2016
2016-01-01,1.2244809,2016,1,Jan,2016
2016-02-01,1.4367917,2016,2,Feb,2016
2016-03-01,1.4983722,2016,3,Mar,2016
2016-04-01,1.6381991,2016,4,Apr,2016
2016-10-01,1.1060368,2016,10,Oct,2017
2016-11-01,1.1304649,2016,11,Nov,2017
2016-12-01,1.1935415,2016,12,Dec,2017
2017-01-01,1.2865002,2017,1,Jan,2017
2017-02-01,1.3774376,2017,2,Feb,2017
2017-03-01,1.4821765,2017,3,Mar,2017
2017-04-01,1.5578583,2017,4,Apr,2017
2017-10-01,1.0934969,2017,10,Oct,2018
2017-11-01,1.1302037,2017,11,Nov,2018
2017-12-01,1.1426898,2017,12,Dec,2018
2018-01-01,1.2575821,2018,1,Jan,2018
2018-02-01,1.3594111,2018,2,Feb,2018
2018-03-01,1.4583418,2018,3,Mar,2018
2018-04-01,1.5730242,2018,4,Apr,2018
2018-10-01,1.1738025,2018,10,Oct,2019
2018-11-01,1.1972703,2018,11,Nov,2019
2018-12-01,1.1942544,2018,12,Dec,2019
2019-01-01,1.2399993,2019,1,Jan,2019
2019-02-01,1.3864871,2019,2,Feb,2019
2019-03-01,1.5287182,2019,3,Mar,2019
2019-04-01,1.7169381,2019,4,Apr,2019
2019-10-01,1.0605,2019,10,Oct,2020
2019-11-01,1.0298129,2019,11,Nov,2020
2019-12-01,1.042956,2019,12,Dec,2020
2020-01-01,1.1383423,2020,1,Jan,2020
2020-02-01,1.2781305,2020,2,Feb,2020
2020-03-01,1.4468586,2020,3,Mar,2020
2020-04-01,1.5810957,2020,4,Apr,2020
2020-10-01,1.000368,2020,10,Oct,2021
2020-11-01,0.97959924,2020,11,Nov,2021
2020-12-01,1.0364724,2020,12,Dec,2021
2021-01-01,1.1270947,2021,1,Jan,2021
2021-02-01,1.2035303,2021,2,Feb,2021
2021-03-01,1.374883,2021,3,Mar,2021
2021-04-01,1.4892837,2021,4,Apr,2021
2021-10-01,0.98462003,2021,10,Oct,2022
2021-11-01,1.0294937,2021,11,Nov,2022
2021-12-01,1.0854402,2021,12,Dec,2022
2022-01-01,1.1935796,2022,1,Jan,2022
2022-02-01,1.3429766,2022,2,Feb,2022
2022-03-01,1.5126196,2022,3,Mar,2022
2022-04-01,1.5918387,2022,4,Apr,2022
